Brite_1	Brite_2	Pathway_id	Pathway_name	
Metabolism	Global and overview maps	ko01100	Metabolic pathways	
Metabolism	Global and overview maps	ko01110	Biosynthesis of secondary metabolites	
Metabolism	Global and overview maps	ko01120	Microbial metabolism in diverse environments	
Metabolism	Global and overview maps	ko01130	Biosynthesis of antibiotics	
Metabolism	Global and overview maps	ko01200	Carbon metabolism	
Metabolism	Global and overview maps	ko01210	2-Oxocarboxylic acid metabolism	
Metabolism	Global and overview maps	ko01212	Fatty acid metabolism	
Metabolism	Global and overview maps	ko01230	Biosynthesis of amino acids	
Metabolism	Global and overview maps	ko01220	Degradation of aromatic compounds	
Metabolism	Carbohydrate metabolism	ko00010	Glycolysis / Gluconeogenesis	
Metabolism	Carbohydrate metabolism	ko00020	Citrate cycle (TCA cycle)	
Metabolism	Carbohydrate metabolism	ko00030	Pentose phosphate pathway	
Metabolism	Carbohydrate metabolism	ko00040	Pentose and glucuronate interconversions	
Metabolism	Carbohydrate metabolism	ko00051	Fructose and mannose metabolism	
Metabolism	Carbohydrate metabolism	ko00052	Galactose metabolism	
Metabolism	Carbohydrate metabolism	ko00053	Ascorbate and aldarate metabolism	
Metabolism	Carbohydrate metabolism	ko00500	Starch and sucrose metabolism	
Metabolism	Carbohydrate metabolism	ko00520	Amino sugar and nucleotide sugar metabolism	
Metabolism	Carbohydrate metabolism	ko00620	Pyruvate metabolism	
Metabolism	Carbohydrate metabolism	ko00630	Glyoxylate and dicarboxylate metabolism	
Metabolism	Carbohydrate metabolism	ko00640	Propanoate metabolism	
Metabolism	Carbohydrate metabolism	ko00650	Butanoate metabolism	
Metabolism	Carbohydrate metabolism	ko00660	C5-Branched dibasic acid metabolism	
Metabolism	Carbohydrate metabolism	ko00562	Inositol phosphate metabolism	
Metabolism	Energy metabolism	ko00190	Oxidative phosphorylation	
Metabolism	Energy metabolism	ko00195	Photosynthesis	
Metabolism	Energy metabolism	ko00196	Photosynthesis - antenna proteins	
Metabolism	Energy metabolism	ko00710	Carbon fixation in photosynthetic organisms	
Metabolism	Energy metabolism	ko00720	Carbon fixation pathways in prokaryotes	
Metabolism	Energy metabolism	ko00680	Methane metabolism	
Metabolism	Energy metabolism	ko00910	Nitrogen metabolism	
Metabolism	Energy metabolism	ko00920	Sulfur metabolism	
Metabolism	Lipid metabolism	ko00061	Fatty acid biosynthesis	
Metabolism	Lipid metabolism	ko00062	Fatty acid elongation	
Metabolism	Lipid metabolism	ko00071	Fatty acid degradation	
Metabolism	Lipid metabolism	ko00072	Synthesis and degradation of ketone bodies	
Metabolism	Lipid metabolism	ko00073	Cutin suberine and wax biosynthesis	
Metabolism	Lipid metabolism	ko00100	Steroid biosynthesis	
Metabolism	Lipid metabolism	ko00120	Primary bile acid biosynthesis	
Metabolism	Lipid metabolism	ko00121	Secondary bile acid biosynthesis	
Metabolism	Lipid metabolism	ko00140	Steroid hormone biosynthesis	
Metabolism	Lipid metabolism	ko00561	Glycerolipid metabolism	
Metabolism	Lipid metabolism	ko00564	Glycerophospholipid metabolism	
Metabolism	Lipid metabolism	ko00565	Ether lipid metabolism	
Metabolism	Lipid metabolism	ko00600	Sphingolipid metabolism	
Metabolism	Lipid metabolism	ko00590	Arachidonic acid metabolism	
Metabolism	Lipid metabolism	ko00591	Linoleic acid metabolism	
Metabolism	Lipid metabolism	ko00592	alpha-Linolenic acid metabolism	
Metabolism	Lipid metabolism	ko01040	Biosynthesis of unsaturated fatty acids	
Metabolism	Nucleotide metabolism	230	Purine metabolism	
Metabolism	Nucleotide metabolism	240	Pyrimidine metabolism	
Metabolism	Amino acid metabolism	250	Alanine, aspartate and glutamate metabolism	 
Metabolism	Amino acid metabolism	260	Glycine, serine and threonine metabolism	
Metabolism	Amino acid metabolism	270	Cysteine and methionine metabolism	
Metabolism	Amino acid metabolism	280	Valine, leucine and isoleucine degradation	 
Metabolism	Amino acid metabolism	290	Valine, leucine and isoleucine biosynthesis	
Metabolism	Amino acid metabolism	300	Lysine biosynthesis	
Metabolism	Amino acid metabolism	310	Lysine degradation	
Metabolism	Amino acid metabolism	220	Arginine biosynthesis	
Metabolism	Amino acid metabolism	330	Arginine and proline metabolism	
Metabolism	Amino acid metabolism	340	Histidine metabolism	
Metabolism	Amino acid metabolism	350	Tyrosine metabolism	
Metabolism	Amino acid metabolism	360	Phenylalanine metabolism	
Metabolism	Amino acid metabolism	380	Tryptophan metabolism	
Metabolism	Amino acid metabolism	400	Phenylalanine, tyrosine and tryptophan biosynthesis	
Metabolism	Metabolism of other amino acids	410	beta-Alanine metabolism	
Metabolism	Metabolism of other amino acids	430	Taurine and hypotaurine metabolism	
Metabolism	Metabolism of other amino acids	440	Phosphonate and phosphinate metabolism	
Metabolism	Metabolism of other amino acids	450	Selenocompound metabolism	
Metabolism	Metabolism of other amino acids	460	Cyanoamino acid metabolism	
Metabolism	Metabolism of other amino acids	471	D-Glutamine and D-glutamate metabolism	
Metabolism	Metabolism of other amino acids	472	D-Arginine and D-ornithine metabolism	
Metabolism	Metabolism of other amino acids	473	D-Alanine metabolism	
Metabolism	Metabolism of other amino acids	480	Glutathione metabolism	
Metabolism	Glycan biosynthesis and metabolism	510	N-Glycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	513	Various types of N-glycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	512	Mucin type O-glycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	515	Mannose type O-glycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	514	Other types of O-glycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	
Metabolism	Glycan biosynthesis and metabolism	534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	
Metabolism	Glycan biosynthesis and metabolism	533	Glycosaminoglycan biosynthesis - keratan sulfate	
Metabolism	Glycan biosynthesis and metabolism	531	Glycosaminoglycan degradation	
Metabolism	Glycan biosynthesis and metabolism	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	601	Glycosphingolipid biosynthesis - lacto and neolacto series	
Metabolism	Glycan biosynthesis and metabolism	603	Glycosphingolipid biosynthesis - globo and isoglobo series	
Metabolism	Glycan biosynthesis and metabolism	604	Glycosphingolipid biosynthesis - ganglio series	
Metabolism	Glycan biosynthesis and metabolism	540	Lipopolysaccharide biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	550	Peptidoglycan biosynthesis	
Metabolism	Glycan biosynthesis and metabolism	511	Other glycan degradation	
Metabolism	Metabolism of cofactors and vitamins	730	Thiamine metabolism	
Metabolism	Metabolism of cofactors and vitamins	740	Riboflavin metabolism	
Metabolism	Metabolism of cofactors and vitamins	750	Vitamin B6 metabolism	
Metabolism	Metabolism of cofactors and vitamins	760	Nicotinate and nicotinamide metabolism	
Metabolism	Metabolism of cofactors and vitamins	770	Pantothenate and CoA biosynthesis	
Metabolism	Metabolism of cofactors and vitamins	780	Biotin metabolism	
Metabolism	Metabolism of cofactors and vitamins	785	Lipoic acid metabolism	
Metabolism	Metabolism of cofactors and vitamins	790	Folate biosynthesis	
Metabolism	Metabolism of cofactors and vitamins	670	One carbon pool by folate	
Metabolism	Metabolism of cofactors and vitamins	830	Retinol metabolism	
Metabolism	Metabolism of cofactors and vitamins	860	Porphyrin and chlorophyll metabolism	
Metabolism	Metabolism of cofactors and vitamins	130	Ubiquinone and other terpenoid-quinone biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	900	Terpenoid backbone biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	902	Monoterpenoid biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	909	Sesquiterpenoid and triterpenoid biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	904	Diterpenoid biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	906	Carotenoid biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	905	Brassinosteroid biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	981	Insect hormone biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	908	Zeatin biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	903	Limonene and pinene degradation	
Metabolism	Metabolism of terpenoids and polyketides	281	Geraniol degradation	
Metabolism	Metabolism of terpenoids and polyketides	1052	Type I polyketide structures	
Metabolism	Metabolism of terpenoids and polyketides	522	Biosynthesis of 12-, 14- and 16-membered macrolides	 
Metabolism	Metabolism of terpenoids and polyketides	1051	Biosynthesis of ansamycins	
Metabolism	Metabolism of terpenoids and polyketides	1059	Biosynthesis of enediyne antibiotics	
Metabolism	Metabolism of terpenoids and polyketides	1056	Biosynthesis of type II polyketide backbone	
Metabolism	Metabolism of terpenoids and polyketides	1057	Biosynthesis of type II polyketide products	
Metabolism	Metabolism of terpenoids and polyketides	253	Tetracycline biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	523	Polyketide sugar unit biosynthesis	
Metabolism	Metabolism of terpenoids and polyketides	1054	Nonribosomal peptide structures	
