ko_id	ko_name
K00001	alcohol_dehydrogenase_[EC:1.1.1.1]
K00002	alcohol_dehydrogenase_(NADP+)_[EC:1.1.1.2]
K00003	homoserine_dehydrogenase_[EC:1.1.1.3]
K00004	(R,R)-butanediol_dehydrogenase_/_meso-butanediol_dehydrogenase_/_diacetyl_reductase_[EC:1.1.1.4_1.1.1.-_1.1.1.303]
K00005	glycerol_dehydrogenase_[EC:1.1.1.6]
K00006	glycerol-3-phosphate_dehydrogenase_(NAD+)_[EC:1.1.1.8]
K00007	D-arabinitol_4-dehydrogenase_[EC:1.1.1.11]
K00008	L-iditol_2-dehydrogenase_[EC:1.1.1.14]
K00009	mannitol-1-phosphate_5-dehydrogenase_[EC:1.1.1.17]
K00010	myo-inositol_2-dehydrogenase_/_D-chiro-inositol_1-dehydrogenase_[EC:1.1.1.18_1.1.1.369]
K00011	aldehyde_reductase_[EC:1.1.1.21]
K00012	UDPglucose_6-dehydrogenase_[EC:1.1.1.22]
K00013	histidinol_dehydrogenase_[EC:1.1.1.23]
K00014	shikimate_dehydrogenase_[EC:1.1.1.25]
K00015	glyoxylate_reductase_[EC:1.1.1.26]
K00016	L-lactate_dehydrogenase_[EC:1.1.1.27]
K00018	glycerate_dehydrogenase_[EC:1.1.1.29]
K00019	3-hydroxybutyrate_dehydrogenase_[EC:1.1.1.30]
K00020	3-hydroxyisobutyrate_dehydrogenase_[EC:1.1.1.31]
K00021	hydroxymethylglutaryl-CoA_reductase_(NADPH)_[EC:1.1.1.34]
K00022	3-hydroxyacyl-CoA_dehydrogenase_[EC:1.1.1.35]
K00023	acetoacetyl-CoA_reductase_[EC:1.1.1.36]
K00024	malate_dehydrogenase_[EC:1.1.1.37]
K00025	malate_dehydrogenase_[EC:1.1.1.37]
K00026	malate_dehydrogenase_[EC:1.1.1.37]
K00027	malate_dehydrogenase_(oxaloacetate-decarboxylating)_[EC:1.1.1.38]
K00028	malate_dehydrogenase_(decarboxylating)_[EC:1.1.1.39]
K00029	malate_dehydrogenase_(oxaloacetate-decarboxylating)(NADP+)_[EC:1.1.1.40]
K00030	isocitrate_dehydrogenase_(NAD+)_[EC:1.1.1.41]
K00031	isocitrate_dehydrogenase_[EC:1.1.1.42]
K00032	phosphogluconate_2-dehydrogenase_[EC:1.1.1.43]
K00033	6-phosphogluconate_dehydrogenase_[EC:1.1.1.44_1.1.1.343]
K00034	glucose_1-dehydrogenase_[EC:1.1.1.47]
K00035	D-galactose_1-dehydrogenase_[EC:1.1.1.48]
K00036	glucose-6-phosphate_1-dehydrogenase_[EC:1.1.1.49_1.1.1.363]
K00037	3alpha-hydroxysteroid_3-dehydrogenase_/_chlordecone_reductase_[EC:1.1.1.50_1.1.1.357_1.1.1.225]
K00038	3alpha(or_20beta)-hydroxysteroid_dehydrogenase_[EC:1.1.1.53]
K00039	ribitol_2-dehydrogenase_[EC:1.1.1.56]
K00040	fructuronate_reductase_[EC:1.1.1.57]
K00041	tagaturonate_reductase_[EC:1.1.1.58]
K00042	2-hydroxy-3-oxopropionate_reductase_[EC:1.1.1.60]
K00043	4-hydroxybutyrate_dehydrogenase_[EC:1.1.1.61]
K00044	17beta-estradiol_17-dehydrogenase_[EC:1.1.1.62]
K00045	mannitol_2-dehydrogenase_[EC:1.1.1.67]
K00046	gluconate_5-dehydrogenase_[EC:1.1.1.69]
K00048	lactaldehyde_reductase_[EC:1.1.1.77]
K00049	glyoxylate/hydroxypyruvate_reductase_[EC:1.1.1.79_1.1.1.81]
K00050	hydroxypyruvate_reductase_[EC:1.1.1.81]
K00051	malate_dehydrogenase_(NADP+)_[EC:1.1.1.82]
