Sample	Gene	Hits
CD1_T1_B1	MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA	306
CD1_T1_B1	MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA	90
CD1_T1_B1	MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA	118
CD1_T1_B1	MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER	133
CD1_T1_B1	MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES	141
CD1_T1_B1	MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR	103
CD1_T1_B1	MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR	113
CD1_T1_B1	MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC	157
CD1_T1_B1	MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC	60
CD1_T1_B1	MEG_1576|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA	17
CD1_T1_B1	MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA	18
CD1_T1_B1	MEG_1637|Drugs|betalactams|Class_A_betalactamases|CBLA	13
CD1_T1_B1	MEG_1686|Drugs|betalactams|Class_A_betalactamases|CFX	83
CD1_T1_B1	MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX	34
CD1_T1_B1	MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX	63
CD1_T1_B1	MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX	91
CD1_T1_B1	MEG_1696|Drugs|betalactams|Class_A_betalactamases|CFX	65
CD1_T1_B1	MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX	22
CD1_T1_B1	MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX	95
CD1_T1_B1	MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	69
CD1_T1_B1	MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	215
CD1_T1_B1	MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	320
CD1_T1_B1	MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	112
CD1_T1_B1	MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP	145
CD1_T1_B1	MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA	217
CD1_T1_B1	MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB	92
CD1_T1_B1	MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB	172
CD1_T1_B1	MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD	146
CD1_T1_B1	MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD	126
CD1_T1_B1	MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK	98
CD1_T1_B1	MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK	73
CD1_T1_B1	MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR	132
CD1_T1_B1	MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY	142
CD1_T1_B1	MEG_2737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY	83
CD1_T1_B1	MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA	420
CD1_T1_B1	MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	44
CD1_T1_B1	MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	46
CD1_T1_B1	MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	14
CD1_T1_B1	MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	11
CD1_T1_B1	MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	7
CD1_T1_B1	MEG_2806|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	10
CD1_T1_B1	MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	50
CD1_T1_B1	MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	365
CD1_T1_B1	MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	4
CD1_T1_B1	MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	109
CD1_T1_B1	MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS	616
CD1_T1_B1	MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW	99
CD1_T1_B1	MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX	116
CD1_T1_B1	MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS	63
CD1_T1_B1	MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES	133
CD1_T1_B1	MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE	127
CD1_T1_B1	MEG_3513|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN	157
CD1_T1_B1	MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	14
CD1_T1_B1	MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA	216
CD1_T1_B1	MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC	7
CD1_T1_B1	MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	39
CD1_T1_B1	MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA	19
CD1_T1_B1	MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA	32
CD1_T1_B1	MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR	60
CD1_T1_B1	MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA	88
CD1_T1_B1	MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA	91
CD1_T1_B1	MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA	258
CD1_T1_B1	MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB	797
CD1_T1_B1	MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC	857
CD1_T1_B1	MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE	343
CD1_T1_B1	MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF	661
CD1_T1_B1	MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG	138
CD1_T1_B1	MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH	152
CD1_T1_B1	MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI	27
CD1_T1_B1	MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ	27
CD1_T1_B1	MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK	90
CD1_T1_B1	MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK	122
CD1_T1_B1	MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM	104
CD1_T1_B1	MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM	67
CD1_T1_B1	MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN	230
CD1_T1_B1	MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO	445
CD1_T1_B1	MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP	404
CD1_T1_B1	MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	91
CD1_T1_B1	MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE	564
CD1_T1_B1	MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA	342
CD1_T1_B1	MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB	959
CD1_T1_B1	MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB	61
CD1_T1_B1	MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA	385
CD1_T1_B1	MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD	301
CD1_T1_B1	MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD	433
CD1_T1_B1	MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE	339
CD1_T1_B1	MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF	651
CD1_T1_B1	MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC	47
CD1_T1_B1	MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF	462
CD1_T1_B1	MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS	153
CD1_T1_B1	MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2	475
CD1_T1_B1	MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B	153
CD1_T1_B1	MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF	252
