sample_id,run
FMT01,ERR2198611
FMT01,ERR2198636
FMT02,ERR2198612
FMT02,ERR2198637
FMT03,ERR2198613
FMT03,ERR2198638
FMT04,ERR2198614
FMT04,ERR2198639
FMT05,ERR2198615
FMT05,ERR2198652
FMT06,ERR2198616
FMT06,ERR2198653
FMT10,ERR2198620
FMT10,ERR2198659
FMT100,ERR2198715
FMT101,ERR2198716
FMT102,ERR2198717
FMT103,ERR2198719
FMT105,ERR2198708
FMT106,ERR2198712
FMT108,ERR2198646
FMT109,ERR2198720
FMT11,ERR2198621
FMT11,ERR2198660
FMT110,ERR2198718
FMT12,ERR2198622
FMT12,ERR2198661
FMT13,ERR2198623
FMT13,ERR2198662
FMT14,ERR2198624
FMT14,ERR2198663
FMT15,ERR2198625
FMT15,ERR2198665
FMT16,ERR2198626
FMT16,ERR2198667
FMT17,ERR2198627
FMT17,ERR2198668
FMT18,ERR2198628
FMT19,ERR2198629
FMT19,ERR2198669
FMT20,ERR2198630
FMT20,ERR2198671
FMT21,ERR2198631
FMT21,ERR2198672
FMT22,ERR2198632
FMT23,ERR2198633
FMT23,ERR2198675
FMT24,ERR2198634
FMT25,ERR2198635
FMT25,ERR2198676
FMT26,ERR2198640
FMT27,ERR2198641
FMT28,ERR2198642
FMT29,ERR2198643
FMT30,ERR2198644
FMT31,ERR2198645
FMT32,ERR2198647
FMT33,ERR2198648
FMT34,ERR2198649
FMT35,ERR2198650
FMT37,ERR2198651
FMT39,ERR2198654
FMT41,ERR2198655
FMT43,ERR2198664
FMT44,ERR2198670
FMT47,ERR2198673
FMT49,ERR2198674
FMT50,ERR2198677
FMT51,ERR2198678
FMT53,ERR2198679
FMT55,ERR2198680
FMT56,ERR2198681
FMT58,ERR2198682
FMT59,ERR2198683
FMT62,ERR2198685
FMT64,ERR2198686
FMT66,ERR2198687
FMT67,ERR2198688
FMT69,ERR2198689
FMT71,ERR2198690
FMT72,ERR2198691
FMT74,ERR2198692
FMT75,ERR2198693
FMT77,ERR2198694
FMT78,ERR2198695
FMT80,ERR2198696
FMT81,ERR2198697
FMT82,ERR2198698
FMT84,ERR2198699
FMT85,ERR2198700
FMT88,ERR2198702
FMT92,ERR2198704
FMT92,ERR2198705
FMT93,ERR2198706
FMT95,ERR2198707
FMT96,ERR2198709
FMT97,ERR2198710
FMT98,ERR2198711
FMT99,ERR2198714
