df_sample	source_id	time_point	representative	sequencing_run	reads
DONOR2_T1_B1	DFM_002	1	not_representative	B1	1102125
DONOR2_T1_B4	DFM_002	1	ok	B4	18404776
DONOR2_T2_B2	DFM_002	2	ok	B2	10552928
DONOR3_T1_B1	DFM_003	1	ok	B1	22927832
DONOR3_T2_B2	DFM_003	2	ok	B2	15922579
DONOR3_T3_B6	DFM_003	3	ok	B6	13013845
DONOR7_T1_B8	DFM_007	1	ok	B8	10375475
DONOR7_T2_B8	DFM_007	2	ok	B8	11237623
DONOR10_T1_B8	DFM_010	1	ok	B8	9903829
SPORT4_T1_B8	SFM_004	1	ok	B8	8827083
SPORT12_T1_B8	SFM_012	1	ok	B8	8204242
SPORT17_T1_B3	SFM_017	1	ok	B3	23595999
CD1_T1_B1	TFM_001	1	ok	B1	12511138
CD1_T2_B1	TFM_001	2	ok	B1	1821131
IBS2_T1_B1	TFM_002	1	ok	B1	4017846
IBS2_T2_B1	TFM_002	2	ok	B1	3510852
IBS2_T3_B1	TFM_002	3	ok	B1	17719378
IBS2_T5_B2	TFM_002	5	ok	B2	14309859
UC3_T1_B1	TFM_003	1	ok	B1	3677298
UC3_T3_B1	TFM_003	3	not_representative	B1	2257647
UC3_T3_B4	TFM_003	3	ok	B4	16800638
UC3_T5_B5	TFM_003	5	ok	B5	10601875
CD5_T1_B6	TFM_005	1	not_representative	B6	2636313
CD5_T1_B2	TFM_005	1	ok	B2	8860738
CD5_T2_B2	TFM_005	2	not_representative	B2	9503270
CD5_T2_B6	TFM_005	2	ok	B6	10150060
CD5_T3_B2	TFM_005	3	not_representative	B2	5809431
CD5_T3_B6	TFM_005	3	ok	B6	13060815
IBS6_T1_B2	TFM_006	1	ok	B2	11999549
IBS6_T2_B2	TFM_006	2	ok	B2	9515007
IBS6_T3_B2	TFM_006	3	ok	B2	14270876
IBS6_T4_B2	TFM_006	4	ok	B2	14142953
UC7_T1_B6	TFM_007	1	not_representative	B6	633553
UC7_T1_B2	TFM_007	1	ok	B2	1417846
UC7_T2_B6	TFM_007	2	not_representative	B6	1659387
UC7_T2_B2	TFM_007	2	ok	B2	2969921
UC7_T3_B6	TFM_007	3	not_representative	B6	342428
UC7_T3_B2	TFM_007	3	ok	B2	1070872
UC8_T1_B5	TFM_008	1	not_representative	B5	4515661
UC8_T1_B2	TFM_008	1	ok	B2	9107563
UC8_T2_B4	TFM_008	2	not_representative	B4	7418549
UC8_T2_B2	TFM_008	2	ok	B2	8128079
UC8_T3_B2	TFM_008	3	not_representative	B2	12660170
UC8_T3_B4	TFM_008	3	ok	B4	14153779
IBS9_T1_B2	TFM_009	1	ok	B2	16174717
IBS9_T2_B2	TFM_009	2	ok	B2	15122731
IBS9_T3_B2	TFM_009	3	ok	B2	16305727
UC15_T1_B3	TFM_015	1	ok	B3	1066070
UC15_T2_B3	TFM_015	2	ok	B3	1747734
UC15_T3_B3	TFM_015	3	ok	B3	8304501
UC15_T4_B3	TFM_015	4	ok	B3	19253016
UC15_T5_B5	TFM_015	5	ok	B5	11248348
CD16_T1_B3	TFM_016	1	ok	B3	18845157
CD16_T2_B3	TFM_016	2	ok	B3	19468462
CD16_T3_B3	TFM_016	3	ok	B3	19490324
CD17_T1_B7	TFM_017	1	ok	B7	4519054
CD17_T3_B7	TFM_017	3	ok	B7	4566441
CD17_T4_B7	TFM_017	4	ok	B7	5690968
UC22_T1_B6	TFM_022	1	ok	B6	1423602
UC22_T2_B6	TFM_022	2	ok	B6	2464359
UC22_T3_B6	TFM_022	3	ok	B6	4586489
UC22_T4_B6	TFM_022	4	ok	B6	10088652
UC22_T5_B6	TFM_022	5	ok	B6	11556007
CD27_T1_B7	TFM_027	1	ok	B7	5202397
CD27_T2_B7	TFM_027	2	ok	B7	5486191
CD27_T3_B7	TFM_027	3	ok	B7	5225005
CD28_T1_B7	TFM_028	1	ok	B7	3920666
CD28_T2_B7	TFM_028	2	ok	B7	4189117
CD28_T4_B7	TFM_028	4	ok	B7	5020642
UC33_T1_B7	TFM_033	1	ok	B7	749784
UC33_T2_B7	TFM_033	2	ok	B7	4506621
UC33_T3_B7	TFM_033	3	ok	B7	2828190
UC33_T4_B7	TFM_033	4	ok	B7	3825269
CD35_T1_B7	TFM_035	1	ok	B7	9524424
CD35_T2_B7	TFM_035	2	ok	B7	5022898
CD35_T3_B7	TFM_035	3	ok	B7	105338
CD35_T4_B7	TFM_035	4	ok	B7	5244133
UC36_T1_B7	TFM_036	1	ok	B7	4961894
UC36_T2_B7	TFM_036	2	ok	B7	5184206
UC36_T3_B7	TFM_036	3	ok	B7	4661133
UC36_T4_B7	TFM_036	4	ok	B7	5055197
UC36_T5_B7	TFM_036	5	ok	B7	19487
CD38_T1_B7	TFM_038	1	ok	B7	2869195
CD38_T2_B7	TFM_038	2	ok	B7	2450025
CD38_T3_B7	TFM_038	3	ok	B7	182
CD38_T4_B7	TFM_038	4	ok	B7	2564278
CD38_T5_B7	TFM_038	5	ok	B7	1525364
