sample	gids
FMT01	G38838,G48189
FMT02	G38839,G48190
FMT03	G38840,G48191
FMT04	G38841,G48192
FMT26	G48193
FMT27	G48194
FMT28	G48195
FMT29	G48196
FMT30	G48197
FMT31	G48198
FMT108	G48199
FMT32	G48200
FMT33	G48201
FMT34	G48202
FMT35	G48203
FMT37	G48204
FMT05	G38842,G48205
FMT06	G38843,G48206
FMT39	G48207
FMT41	G48208
FMT10	G38847,G48212
FMT11	G38848,G48213
FMT12	G38849,G48214
FMT13	G38850,G48215
FMT14	G38851,G48216
FMT43	G48217
FMT15	G38852,G48218,G48219
FMT16	G38853,G48220
FMT17	G38854,G48221
FMT18	G38855
FMT19	G38856,G48222
FMT44	G48223
FMT20	G38857,G48224
FMT21	G38858,G48225
FMT22	G38859
FMT47	G48226
FMT49	G48227
FMT23	G38860,G48228
FMT24	G38861
FMT25	G38862,G48229
FMT50	G48230
FMT51	G48231
FMT53	G48232
FMT55	G48233
FMT56	G48234
FMT58	G48235
FMT59	G48236
FMT62	G48238
FMT64	G48239
FMT66	G48240
FMT67	G48241
FMT69	G48242
FMT71	G48243
FMT72	G48244
FMT74	G48245
FMT75	G48246
FMT77	G48247
FMT78	G48248
FMT80	G48249
FMT81	G48250
FMT82	G48251
FMT84	G48252
FMT85	G48253
FMT88	G48255
FMT92	G48257,G48258
FMT93	G48259
FMT95	G48260
FMT105	G48261
FMT96	G48262
FMT97	G48263
FMT98	G48264
FMT106	G48265
FMT99	G48267
FMT100	G48268
FMT101	G48269
FMT102	G48270
FMT110	G48271
FMT103	G48272
FMT109	G48273
