run,sampleid
SRR15903584,CD28_T1_B7
SRR15903585,CD27_T3_B7
SRR15903586,CD1_T2_B1
SRR15903587,CD1_T1_B1
SRR15903588,CD27_T2_B7
SRR15903589,CD27_T1_B7
SRR15903590,CD17_T4_B7
SRR15903591,CD17_T3_B7
SRR15903592,SPORT4_T1_B8
SRR15903593,SPORT17_T1_B3
SRR15903594,SFM028_T1_B1
SRR15903595,DONOR7_T2_B8
SRR15903596,DONOR7_T1_B8
SRR15903597,DONOR3_T3_B6
SRR15903598,CD17_T1_B7
SRR15903599,DONOR3_T2_B2
SRR15903600,DONOR2_T1_B4
SRR15903601,UC8_T3_B4
SRR15903602,UC8_T2_B2
SRR15903603,UC8_T1_B2
SRR15903604,UC36_T4_B7
SRR15903605,UC36_T3_B7
SRR15903606,UC36_T2_B7
SRR15903607,UC36_T1_B7
SRR15903608,UC33_T4_B7
SRR15903609,CD16_T3_B3
SRR15903610,UC33_T3_B7
SRR15903611,UC33_T2_B7
SRR15903612,UC33_T1_B7
SRR15903613,UC3_T5_B5
SRR15903614,UC3_T3_B4
SRR15903615,UC3_T1_B1
SRR15903616,UC22_T5_B6
SRR15903617,UC22_T4_B6
SRR15903618,UC22_T3_B6
SRR15903619,UC22_T2_B6
SRR15903620,CD16_T2_B3
SRR15903621,UC22_T1_B6
SRR15903622,UC15_T5_B5
SRR15903623,UC15_T4_B3
SRR15903624,UC15_T3_B3
SRR15903625,UC15_T2_B3
SRR15903626,UC15_T1_B3
SRR15903627,CD5_T3_B6
SRR15903628,CD5_T2_B6
SRR15903629,CD5_T1_B2
SRR15903630,CD38_T5_B7
SRR15903631,CD16_T1_B3
SRR15903632,CD38_T4_B7
SRR15903633,CD38_T2_B7
SRR15903634,CD38_T1_B7
SRR15903635,CD35_T4_B7
SRR15903636,CD35_T2_B7
SRR15903637,CD35_T1_B7
SRR15903638,CD28_T4_B7
SRR15903639,CD28_T2_B7
