Run,SampleName
SRR6468503,LLDeep_0012
SRR6468545,LLDeep_0026
SRR6468546,LLDeep_0027
SRR6468547,LLDeep_0028
SRR6468548,LLDeep_0029
SRR6468541,LLDeep_0030
SRR6468542,LLDeep_0033
SRR6468543,LLDeep_0034
SRR6468544,LLDeep_0037
SRR6468549,LLDeep_0039
SRR6468550,LLDeep_0043
SRR6468680,PRISM_7860
SRR6468674,PRISM_7861
SRR6468671,PRISM_7875
SRR6468679,PRISM_7909
SRR6468678,PRISM_7910
SRR6468681,PRISM_7911
SRR6468528,PRISM_7912
SRR6468675,PRISM_7938
SRR6468502,PRISM_7941
SRR6468677,PRISM_7947
SRR6468676,PRISM_7948
SRR6468673,PRISM_7955
SRR6468672,PRISM_7971
SRR6468700,PRISM_7989
SRR6468701,PRISM_8095
SRR6468698,PRISM_8096
SRR6468699,PRISM_8101
SRR6468696,PRISM_8106
SRR6468697,PRISM_8129
SRR6468694,PRISM_8226
SRR6468695,PRISM_8244
SRR6468692,PRISM_8264
SRR6468693,PRISM_8275
SRR6468523,PRISM_8283
SRR6468522,PRISM_8332
SRR6468521,PRISM_8336
SRR6468520,PRISM_8361
SRR6468527,PRISM_8374
SRR6468526,PRISM_8377
SRR6468525,PRISM_8406
SRR6468524,PRISM_8441
SRR6468530,PRISM_8444
SRR6468529,PRISM_8447
SRR6468689,PRISM_8784
SRR6468688,PRISM_8785
SRR6468687,PRISM_8788
SRR6468686,PRISM_8789
SRR6468685,PRISM_8794
SRR6468684,PRISM_8795
SRR6468683,PRISM_8800
SRR6468682,PRISM_8802
SRR6468691,PRISM_8803
SRR6468690,PRISM_8805
SRR6468505,PRISM_8878
SRR6468504,PRISM_8882
SRR6468507,PRISM_8892
SRR6468506,PRISM_8894
SRR6468509,PRISM_8898
SRR6468508,PRISM_8924
SRR6468511,PRISM_8932
SRR6468510,PRISM_8982
SRR6468513,PRISM_8998
SRR6468512,PRISM_9010
SRR6468704,PRISM_9018
SRR6468705,PRISM_9030
SRR6468702,PRISM_9033
SRR6468703,PRISM_9074
SRR6468708,PRISM_9079
SRR6468709,PRISM_9126
SRR6468706,PRISM_9148
SRR6468537,UMCGIBD00004
SRR6468711,UMCGIBD00030
SRR6468534,UMCGIBD00032
SRR6468713,UMCGIBD00041
SRR6468532,UMCGIBD00053
SRR6468707,UMCGIBD00072
SRR6468517,UMCGIBD00077
SRR6468710,UMCGIBD00122
SRR6468518,UMCGIBD00141
SRR6468539,UMCGIBD00145
SRR6468536,UMCGIBD00167
SRR6468535,UMCGIBD00208
SRR6468500,UMCGIBD00249
SRR6468718,UMCGIBD00250
SRR6468714,UMCGIBD00266
SRR6468531,UMCGIBD00269
SRR6468499,UMCGIBD00327
SRR6468715,UMCGIBD00347
SRR6468717,UMCGIBD00361
SRR6468540,UMCGIBD00371
SRR6468519,UMCGIBD00389
SRR6468515,UMCGIBD00412
SRR6468514,UMCGIBD00442
SRR6468501,UMCGIBD00461
SRR6468712,UMCGIBD00485
SRR6468533,UMCGIBD00529
SRR6468516,UMCGIBD00539
SRR6468538,UMCGIBD00613
SRR6468716,UMCGIBD00645
SRR6468641,LLDeep_0001
SRR6468642,LLDeep_0003
SRR6468643,LLDeep_0010
SRR6468644,LLDeep_0011
SRR6468646,LLDeep_0015
SRR6468647,LLDeep_0018
SRR6468648,LLDeep_0021
SRR6468649,LLDeep_0022
SRR6468650,LLDeep_0024
SRR6468578,LLDeep_0047
SRR6468577,LLDeep_0052
SRR6468580,PRISM_7122
SRR6468579,PRISM_7147
SRR6468582,PRISM_7150
SRR6468581,PRISM_7153
SRR6468584,PRISM_7184
SRR6468583,PRISM_7238
SRR6468586,PRISM_7406
SRR6468585,PRISM_7408
SRR6468601,PRISM_7421
SRR6468602,PRISM_7445
SRR6468599,PRISM_7486
SRR6468600,PRISM_7496
SRR6468605,PRISM_7506
SRR6468606,PRISM_7547
SRR6468603,PRISM_7658
SRR6468604,PRISM_7662
SRR6468607,PRISM_7744
SRR6468608,PRISM_7759
SRR6468632,PRISM_7762
SRR6468631,PRISM_7776
SRR6468628,PRISM_7847
SRR6468627,PRISM_7852
SRR6468626,PRISM_7855
SRR6468625,PRISM_7858
SRR6468597,PRISM_7862
SRR6468598,PRISM_7870
SRR6468621,PRISM_7906
SRR6468622,PRISM_7908
SRR6468563,PRISM_8452
SRR6468564,PRISM_8458
SRR6468623,PRISM_8462
SRR6468624,PRISM_8464
SRR6468559,PRISM_8466
SRR6468560,PRISM_8467
SRR6468561,PRISM_8475
SRR6468562,PRISM_8480
SRR6468609,PRISM_8483
SRR6468610,PRISM_8485
SRR6468590,PRISM_8496
SRR6468589,PRISM_8502
SRR6468588,PRISM_8503
SRR6468587,PRISM_8511
SRR6468594,PRISM_8513
SRR6468593,PRISM_8515
SRR6468592,PRISM_8523
SRR6468591,PRISM_8534
SRR6468596,PRISM_8537
SRR6468595,PRISM_8550
SRR6468571,PRISM_8564
SRR6468572,PRISM_8565
SRR6468573,PRISM_8573
SRR6468574,PRISM_8577
SRR6468567,PRISM_8589
SRR6468568,PRISM_8591
SRR6468569,PRISM_8592
SRR6468570,PRISM_8605
SRR6468575,PRISM_8624
SRR6468576,PRISM_8628
SRR6468638,PRISM_8629
SRR6468637,PRISM_8667
SRR6468640,PRISM_8675
SRR6468639,PRISM_8683
SRR6468634,PRISM_8692
SRR6468633,PRISM_8696
SRR6468636,PRISM_8728
SRR6468635,PRISM_8734
SRR6468630,PRISM_8735
SRR6468629,PRISM_8746
SRR6468619,PRISM_8749
SRR6468620,PRISM_8753
SRR6468617,PRISM_8754
SRR6468618,PRISM_8758
SRR6468615,PRISM_8764
SRR6468616,PRISM_8765
SRR6468613,PRISM_8774
SRR6468614,PRISM_8776
SRR6468611,PRISM_8778
SRR6468612,PRISM_8783
SRR6468566,UMCGIBD00027
SRR6468565,UMCGIBD00064
SRR6468557,UMCGIBD00106
SRR6468645,UMCGIBD00112
SRR6468552,UMCGIBD00233
SRR6468551,UMCGIBD00238
SRR6468554,UMCGIBD00254
SRR6468556,UMCGIBD00393
SRR6468555,UMCGIBD00458
SRR6468558,UMCGIBD00588
SRR6468553,UMCGIBD00593
SRR6468655,PRISM_7791
SRR6468652,PRISM_7843
SRR6468656,PRISM_7874
SRR6468657,PRISM_7879
SRR6468658,PRISM_7897
