Run,SampleName
SRR5983309,G79964
SRR5983308,G79966
SRR5983307,G79967
SRR5983306,G79969
SRR5983313,G79970
SRR5983312,G79972
SRR5983311,G79973
SRR5983310,G79974
SRR5983304,G79986
SRR5983303,G79989
SRR5983469,G80037
SRR5983468,G80038
SRR5983471,G80040
SRR5983470,G80042
SRR5983465,G80051
SRR5983464,G80059
SRR5983467,G80060
SRR5983466,G80062
SRR5983463,G80069
SRR5983462,G80070
SRR5983280,G95634
SRR5983281,G95635
SRR5983278,G95636
SRR5983279,G95637
SRR5983276,G95638
SRR5983277,G95639
SRR5983274,G95640
SRR5983275,G95641
SRR5983272,G95642
SRR5983273,G95643
SRR5983436,G95654
SRR5983437,G95655
SRR5983438,G95656
SRR5983439,G95657
SRR5983442,G95660
SRR5983443,G95661
SRR5983289,G95711
SRR5983288,G95713
SRR5983287,G95714
SRR5983286,G95715
SRR5983285,G95717
SRR5983284,G95719
SRR5983283,G95720
SRR5983282,G95721
SRR5983292,G95723
SRR5983291,G95725
SRR5983474,G95726
SRR5983475,G95728
SRR5983476,G95729
SRR5983477,G95730
SRR5983478,G95731
SRR5983479,G95732
SRR5983480,G95733
SRR5983481,G95734
SRR5983472,G95735
SRR5983473,G95736
SRR5983449,G95737
SRR5983448,G95739
SRR5983451,G95740
SRR5983450,G95741
SRR5983445,G95742
SRR5983444,G95743
SRR5983447,G95745
SRR5983446,G95746
SRR5983441,G95747
SRR5983440,G95748
SRR5983296,G95780
SRR5983295,G95781
SRR5983298,G95782
SRR5983297,G95784
SRR5983300,G95785
SRR5983299,G95786
SRR5983302,G95787
SRR5983301,G95788
SRR5983294,G95789
SRR5983293,G95790
SRR5983266,G95791
SRR5983267,G95792
SRR5983264,G95793
SRR5983265,G95795
SRR5983270,G95796
SRR5983271,G95797
SRR5983268,G95799
SRR5983269,G95801
SRR5983484,G95802
SRR5983485,G95803
SRR5983456,G95804
SRR5983457,G95805
SRR5983454,G95806
SRR5983455,G95807
SRR5983460,G95808
SRR5983461,G95809
SRR5983458,G95810
SRR5983459,G95811
SRR5983452,G95812
SRR5983453,G95813
SRR5983290,G95815
SRR5983483,G95822
SRR5983482,G95823
SRR5983305,G95824
SRR5983411,G79886
SRR5983412,G79889
SRR5983409,G79894
SRR5983413,G79909
SRR5983389,G79922
SRR5983390,G79923
SRR5983387,G79927
SRR5983388,G79929
SRR5983393,G79930
SRR5983394,G79934
SRR5983391,G79948
SRR5983392,G79949
SRR5983395,G79950
SRR5983396,G79957
SRR5983341,G79999
SRR5983342,G80002
SRR5983343,G80015
SRR5983344,G80016
SRR5983337,G80019
SRR5983338,G80025
SRR5983339,G80027
SRR5983340,G80028
SRR5983346,G80031
SRR5983347,G80032
SRR5983408,G95644
SRR5983407,G95645
SRR5983345,G95652
SRR5983333,G95653
SRR5983359,G95658
SRR5983386,G95659
SRR5983372,G95662
SRR5983374,G95663
SRR5983379,G95664
SRR5983378,G95666
SRR5983381,G95667
SRR5983380,G95668
SRR5983383,G95669
SRR5983382,G95672
SRR5983385,G95673
SRR5983384,G95674
SRR5983377,G95676
SRR5983376,G95677
SRR5983401,G95678
SRR5983402,G95679
SRR5983399,G95680
SRR5983400,G95681
SRR5983405,G95682
SRR5983406,G95683
SRR5983403,G95684
SRR5983404,G95685
SRR5983397,G95686
SRR5983398,G95687
SRR5983349,G95688
SRR5983348,G95689
SRR5983351,G95690
SRR5983350,G95691
SRR5983353,G95692
SRR5983352,G95693
SRR5983355,G95695
SRR5983354,G95696
SRR5983357,G95697
SRR5983356,G95698
SRR5983316,G95699
SRR5983317,G95700
SRR5983314,G95701
SRR5983315,G95703
SRR5983320,G95704
SRR5983321,G95705
SRR5983318,G95706
SRR5983319,G95707
SRR5983323,G95708
SRR5983324,G95709
SRR5983363,G95759
SRR5983362,G95760
SRR5983361,G95761
SRR5983360,G95762
SRR5983367,G95763
SRR5983366,G95764
SRR5983365,G95765
SRR5983364,G95766
SRR5983369,G95768
SRR5983368,G95769
SRR5983329,G95770
SRR5983330,G95771
SRR5983331,G95772
SRR5983332,G95773
SRR5983325,G95774
SRR5983326,G95775
SRR5983327,G95776
SRR5983328,G95777
SRR5983334,G95778
SRR5983335,G95779
SRR5983358,G95814
SRR5983336,G95816
SRR5983322,G95817
SRR5983371,G95818
SRR5983370,G95819
SRR5983375,G95820
SRR5983373,G95821
SRR5983410,G95825
SRR5983419,G79897
SRR5983415,G79903
SRR5983416,G79905
SRR5983414,G79913
SRR5983417,G79920
SRR5983418,G79921
SRR5947970,G89286
SRR5947969,G89287
SRR5947968,G89288
SRR5947967,G89290
SRR5947966,G89292
SRR5947965,G89293
SRR5947964,G89294
SRR5947963,G89295
SRR5947972,G89296
SRR5947971,G89297
SRR5947908,G89299
SRR5947907,G89300
SRR5947910,G89301
SRR5947909,G89302
SRR5947904,G89303
SRR5947903,G89304
SRR5947906,G89305
SRR5947905,G89307
SRR5947900,G89308
SRR5947899,G89309
SRR5947946,G89311
SRR5947947,G89312
SRR5947948,G89313
SRR5947949,G89314
SRR5947950,G89315
SRR5947951,G89316
SRR5947952,G89317
SRR5947953,G89320
SRR5947954,G89321
SRR5947955,G89322
SRR5947918,G89323
SRR5947917,G89324
SRR5947916,G89325
SRR5947915,G89328
SRR5947914,G89329
SRR5947913,G89330
SRR5947912,G89331
SRR5947911,G89332
SRR5947922,G89333
SRR5947921,G89334
SRR5947936,G89335
SRR5947937,G89336
SRR5947934,G89338
SRR5947935,G89339
SRR5947940,G89340
SRR5947941,G89341
SRR5947938,G89343
SRR5947939,G89344
