gene_name	hits	sample
VFG002189(gb|NP_816140)	2	UC8_T3_B4
VFG002195(gb|NP_814561)	2	UC8_T3_B4
VFG000872(gb|NP_757240)	2	UC8_T3_B4
VFG000878(gb|NP_757247)	2	UC8_T3_B4
VFG000879(gb|NP_757248)	5	UC8_T3_B4
VFG000885(gb|NP_755464)	2	UC8_T3_B4
VFG000902(gb|NP_755494)	2	UC8_T3_B4
VFG000903(gb|NP_752289)	2	UC8_T3_B4
VFG000906(gb|NP_755445)	6	UC8_T3_B4
VFG000914(gb|NP_753158)	2	UC8_T3_B4
VFG000923(gb|NP_752600)	6	UC8_T3_B4
VFG000924(gb|NP_752610)	2	UC8_T3_B4
VFG000925(gb|NP_752606)	10	UC8_T3_B4
VFG000926(gb|NP_752608)	2	UC8_T3_B4
VFG000928(gb|NP_752607)	4	UC8_T3_B4
VFG000929(gb|NP_752599)	3	UC8_T3_B4
VFG000930(gb|NP_752604)	7	UC8_T3_B4
VFG000931(gb|NP_752611)	6	UC8_T3_B4
VFG000933(gb|NP_752613)	2	UC8_T3_B4
VFG000935(gb|NP_753164)	2	UC8_T3_B4
VFG001443(gb|AAF37887)	7	UC8_T3_B4
VFG001444(gb|AAG10151)	4	UC8_T3_B4
VFG002413(gb|NP_286011)	2	UC8_T3_B4
VFG002414(gb|NP_286010)	3	UC8_T3_B4
VFG002415(gb|NP_286008)	16	UC8_T3_B4
VFG002416(gb|NP_286007)	6	UC8_T3_B4
VFG012513(gb|NP_753168)	2	UC8_T3_B4
VFG034754(gb|NP_288154)	6	UC8_T3_B4
VFG034815(gb|NP_287686)	2	UC8_T3_B4
VFG034849(gb|NP_285716)	8	UC8_T3_B4
VFG034866(gb|NP_290672)	6	UC8_T3_B4
VFG034873(gb|NP_290699)	6	UC8_T3_B4
VFG034915(gb|NP_290352)	2	UC8_T3_B4
VFG044159(gb|NP_752602)	2	UC8_T3_B4
VFG044165(gb|NP_752609)	8	UC8_T3_B4
VFG045349(gb|YP_002390132)	10	UC8_T3_B4
VFG000332(gb|NP_439271)	4	UC8_T3_B4
VFG013260(gb|NP_438427)	7	UC8_T3_B4
VFG013286(gb|NP_438515)	2	UC8_T3_B4
VFG013368(gb|NP_439034)	8	UC8_T3_B4
VFG043625(gb|YP_002921126)	9	UC8_T3_B4
VFG043626(gb|YP_002921127)	5	UC8_T3_B4
VFG043627(gb|YP_002921128)	3	UC8_T3_B4
VFG044324(gb|YP_002920244)	6	UC8_T3_B4
VFG044325(gb|YP_002920245)	2	UC8_T3_B4
VFG044326(gb|YP_002920246)	6	UC8_T3_B4
VFG044328(gb|YP_002920248)	15	UC8_T3_B4
VFG044329(gb|YP_002920249)	12	UC8_T3_B4
VFG044332(gb|YP_002920252)	6	UC8_T3_B4
VFG044333(gb|YP_002920253)	5	UC8_T3_B4
VFG048277(gb|YP_002921140.1)	6	UC8_T3_B4
VFG048287(gb|YP_002921141.1)	2	UC8_T3_B4
VFG048419(gb|YP_002918379.1)	3	UC8_T3_B4
VFG048429(gb|YP_002918378.1)	3	UC8_T3_B4
VFG048439(gb|YP_002918377.1)	2	UC8_T3_B4
VFG048459(gb|YP_002918375.1)	4	UC8_T3_B4
VFG048498(gb|YP_002918370.1)	4	UC8_T3_B4
VFG048808(gb|YP_002920351.1)	2	UC8_T3_B4
VFG048830(gb|YP_002920353.1)	2	UC8_T3_B4
VFG048980(gb|YP_002920367.1)	3	UC8_T3_B4
VFG049018(gb|YP_002920501.1)	3	UC8_T3_B4
VFG049144(gb|YP_002918165.1)	3	UC8_T3_B4
VFG049148(gb|YP_006635474.1)	6	UC8_T3_B4
VFG049149(gb|YP_006635475.1)	2	UC8_T3_B4
VFG049156(gb|YP_006635482.1)	2	UC8_T3_B4
VFG002049(gb|YP_404602)	2	UC8_T3_B4
VFG013064(gb|YP_405019)	2	UC8_T3_B4
VFG049916(gb|YP_309275.1)	9	UC8_T3_B4
VFG049917(gb|YP_309276.1)	5	UC8_T3_B4
VFG001356(gb|NP_345446)	2	UC8_T3_B4
VFG001376(gb|NP_344893)	2	UC8_T3_B4
VFG005197(gb|NP_358462)	2	UC8_T3_B4
VFG000358(gb|NP_405467)	3	UC8_T3_B4
VFG000359(gb|NP_405468)	2	UC8_T3_B4
VFG000360(gb|NP_405469)	2	UC8_T3_B4
VFG000361(gb|NP_405470)	4	UC8_T3_B4
VFG000362(gb|NP_405471)	15	UC8_T3_B4
VFG000363(gb|NP_405472)	12	UC8_T3_B4
VFG000366(gb|NP_405475)	2	UC8_T3_B4
VFG000367(gb|NP_405476)	2	UC8_T3_B4
VFG000368(gb|NP_405477)	7	UC8_T3_B4
VFG002172(gb|NP_814266)	2	UC8_T3_B2
VFG000739(gb|AAC38392)	2	UC8_T3_B2
VFG000871(gb|NP_757239)	3	UC8_T3_B2
VFG000872(gb|NP_757240)	3	UC8_T3_B2
VFG000875(gb|NP_757243)	2	UC8_T3_B2
VFG000876(gb|NP_757244)	3	UC8_T3_B2
VFG000877(gb|NP_757245)	2	UC8_T3_B2
VFG000879(gb|NP_757248)	5	UC8_T3_B2
