gene_name	hits	sample
VFG002195(gb|NP_814561)	2	UC8_T3_B4
VFG000903(gb|NP_752289)	2	UC8_T3_B4
VFG000906(gb|NP_755445)	2	UC8_T3_B4
VFG000914(gb|NP_753158)	2	UC8_T3_B4
VFG000923(gb|NP_752600)	2	UC8_T3_B4
VFG000924(gb|NP_752610)	2	UC8_T3_B4
VFG000925(gb|NP_752606)	2	UC8_T3_B4
VFG000928(gb|NP_752607)	2	UC8_T3_B4
VFG001444(gb|AAG10151)	4	UC8_T3_B4
VFG012513(gb|NP_753168)	2	UC8_T3_B4
VFG034754(gb|NP_288154)	4	UC8_T3_B4
VFG034866(gb|NP_290672)	6	UC8_T3_B4
VFG034873(gb|NP_290699)	2	UC8_T3_B4
VFG044159(gb|NP_752602)	2	UC8_T3_B4
VFG044165(gb|NP_752609)	8	UC8_T3_B4
VFG013260(gb|NP_438427)	7	UC8_T3_B4
VFG013286(gb|NP_438515)	2	UC8_T3_B4
VFG013368(gb|NP_439034)	6	UC8_T3_B4
VFG043626(gb|YP_002921127)	2	UC8_T3_B4
VFG044328(gb|YP_002920248)	2	UC8_T3_B4
VFG048459(gb|YP_002918375.1)	2	UC8_T3_B4
VFG048980(gb|YP_002920367.1)	2	UC8_T3_B4
VFG049148(gb|YP_006635474.1)	4	UC8_T3_B4
VFG049149(gb|YP_006635475.1)	2	UC8_T3_B4
VFG049157(gb|YP_006635483.1)	3	UC8_T3_B4
VFG049916(gb|YP_309275.1)	2	UC8_T3_B4
VFG049917(gb|YP_309276.1)	5	UC8_T3_B4
VFG001376(gb|NP_344893)	2	UC8_T3_B4
VFG043442(gi:29377518)	2	UC8_T3_B4
VFG045681(gi:384513878)	2	UC8_T3_B4
VFG000927(gi:26246566)	6	UC8_T3_B4
VFG001731(gi:26249445)	2	UC8_T3_B4
VFG012237(gi:91213840)	2	UC8_T3_B4
VFG012270(gi:16132134)	2	UC8_T3_B4
VFG012319(gi:16132141)	2	UC8_T3_B4
VFG012484(gi:110643969)	2	UC8_T3_B4
VFG012500(gi:88770271)	2	UC8_T3_B4
VFG012531(gi:26248272)	2	UC8_T3_B4
VFG012533(gi:91211195)	2	UC8_T3_B4
VFG012541(gi:91211197)	2	UC8_T3_B4
VFG012550(gi:117624162)	2	UC8_T3_B4
VFG012557(gi:91211201)	2	UC8_T3_B4
VFG018198(gi:16128278)	3	UC8_T3_B4
VFG018211(gi:16128276)	3	UC8_T3_B4
VFG018218(gi:16128275)	2	UC8_T3_B4
VFG033278(gi:260871037)	3	UC8_T3_B4
VFG033280(gi:410482683)	2	UC8_T3_B4
VFG033284(gi:387607091)	2	UC8_T3_B4
VFG033335(gi:410482685)	4	UC8_T3_B4
