featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
TETQ	0.885564194705624	0.622328704079756	-2.97991707222312	-1.38360391825867	2.5567760082105	-5.16586226282211	2.36124483008797	1.63341838823488	1.79405817504113	1.62703528455817	-0.478735684632109	2.45775540287678	2.05170425185217	-0.383929602407779	2.84984169486695	-0.41044895307949	2.61855561873661	2.11926277440328	-2.01971828976933	-0.907219601651797	-0.220191134139895	0.506053454439657
TETW	0.627598629977841	1.11947954245485	-1.37141039268821	-0.696624207202918	-0.363235989012397	-2.24104613123032	1.82898620028908	3.40333075033358	1.53298950309937	0.996766055146089	-0.285659565805243	2.67039533074086	2.86573019036307	-0.574645615720119	2.81857367191249	-1.29075877325466	-0.661094115760464	1.85602958958883	-0.239967823422586	-1.31181375481761	-0.0929257553070784	0.264642632763403
CFX	-0.422011507961612	2.07997841187395	-2.4213595022425	1.23305643826293	3.59783776720556	-4.27425050792786	2.74956682582314	-0.240784578455182	-1.86175361161049	3.13645353368842	-2.97547364163284	2.35076215977852	-0.572240030679565	-0.306994460129107	3.86212883475953	-2.90718857901028	1.14469797751651	-0.504681508128459	-2.77892732659641	-1.90200395681537	-0.242346270009875	0.492565512854176
TETO	2.34511219122662	0.793588733157286	-1.43780901329368	-3.45150815219117	-0.397047081389106	-3.26739376840683	0.272107514337852	3.12319452272585	-2.11097255234535	0.620616221943727	-1.56784200596695	1.57324041540806	2.6029683590795	0.410316355920468	0.689468245541391	-1.49955527441433	3.30043221852527	3.20956166547078	0.560706257426108	-1.11905890502609	-0.152195444330573	0.286733380715864
ERMF	1.46937857725872	2.01732463189043	-6.86176874534934	-1.4619421389742	6.64882608374151	-11.0557362442979	4.62031737227853	-0.189404063356611	2.92884490008538	4.26533570341193	-0.414089164911554	4.95816810543721	3.70662649878516	1.79708636591498	2.9696394983285	-0.387863553630618	4.39494831702457	3.17748363774556	-2.41843307057682	-0.540870589992175	-0.441695524379611	0.661765000979918
ANT6	2.81963764288678	-0.849439675131669	-5.18901970283836	-2.97097550601197	3.8457506509641	-5.11940193233582	3.473341616587	1.56783130721977	2.24229282255356	0.00133850626074361	-0.148166596173094	2.38303996737187	3.66634234198584	-0.111436120771731	2.54857678297692	-1.28476767198971	3.99192459723697	2.0719534353568	-1.54605248609844	-1.44986571170963	-0.287910839542747	0.480231962363737
TET40	4.1339250669743	1.89601821251787	-1.25989332096427	-1.05530293554497	2.96100320538076	-2.16143053827378	2.11898269017155	2.20753318773439	-1.86310091500099	1.93535035304152	-1.23821973729019	2.33283986265843	3.21989294299139	2.3421608288056	4.61849651817017	-1.16993300573757	2.37505175015674	2.87785120766896	-0.365574956334268	-1.07764491238273	-0.101554473862052	-0.0568587116789646
ILES	-1.15537942788349	1.51155198164857	2.30178544624001	1.35410512715148	-1.66300157586542	-0.683133304692232	-1.29835757355277	0.724448389875201	-0.157393245742871	-3.29749855943597	-2.18683421540146	-2.55965582911785	1.49325540074362	-0.499037220680083	0.571329216992196	-2.11854688780239	-2.98613540985836	0.439217646534626	-0.698183298504983	-1.61169625618137	0.0442553926259279	0.0567389495778255
MDTF	-0.316686524364811	-1.03493266753279	1.74464891059548	0.945010078247063	-1.42893914262263	2.72329455556778	-3.04340347389762	-1.99312274946043	-0.494826703117444	-2.58761820741571	0.679092050315096	-0.294215365098073	-1.62747040978418	0.904742487168942	-0.484376091921988	1.1501003061063	-1.8955964312817	-1.55991188723307	0.844068646036948	0.401759194353452	0.140743630006909	-0.191346519429667
