featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
VFG043094(gi:15802300)	-0.140641670567649	-0.349579773417541	-0.606661005637475	-0.0921203777060977	-0.449974873874869	-0.766067515100752	-0.444049763573068	-0.490805468388966	-0.497737017061029	0.132878118327686	-0.329089435722147	-0.484042528331546	-0.623523232154548	-0.496503364401204	0.132884943059513	-0.216706497701151	-0.469606256119109	-0.761581604289157	-0.651838972951685	0.00259053633947458	0.105434983569596
VFG043086(gi:15802291)	-0.529832821232932	-1.06869079875095	-1.33826909842236	0.00482978077073182	1.34500684418849	0.0214732783181327	-0.461097535757082	-0.327084428497723	-0.307075840021883	0.625541054776737	0.977432218406882	-0.486731619587434	0.0324742825701833	-0.305842187362058	0.630271249583789	0.274055020777243	-0.472295347374997	-0.780441687362535	0.315213427160467	-0.0323729149864188	0.125729934844588
VFG043092(gi:15802298)	-0.995962243420737	0.747442998417786	-0.1429603833173	-0.00238137541870986	-1.3535771759493	-0.416090230430875	-0.474124339489	-0.224764964410237	-0.333083864833627	0.745145076087543	-0.358048665310655	-0.58470040863779	-0.254481461457908	-0.331850212173803	0.745583319238254	0.584791140524404	-0.570264136425352	-0.315904711293323	0.104401692960943	0.0182116517930159	0.0521659996094448
VFG043083(gi:15801199)	-0.226779382569449	-1.52519687222583	-1.95150725426418	-1.66486593930583	0.530691405917917	-2.11688769885472	-0.374096113336938	-0.390491953917912	-0.225453611995493	0.486139827540943	0.910580840919699	-0.850147727191714	-0.179398354701698	-0.224219959335668	0.486183070710727	0.0743967163243464	-0.835711454979277	-1.53869104843054	-0.17559607305697	-0.0461094498501292	0.230375997323011
VFG001444(gb|AAG10151)	0.044077444928033	1.7860398669328	2.6534939569022	0.45390334875722	-0.923147925947394	2.3540902035577	-1.79591064442481	-0.0751114402498518	3.55805245361158	1.41883223610265	-0.73290780463389	-0.786666813552646	0.276332798786461	3.52958964173283	1.41903420644147	-0.315174950393183	-0.772230541340208	-1.67108047466193	0.693936512087073	0.136393278105451	-0.27038601080754
VFG012874(gi:30064027)	1.09986533607755	0.294436850079468	-1.48652677120907	0.428195805860949	0.253057262088571	-0.937807272161756	-0.0166480718978814	-0.238837948867253	-0.442252107496773	-1.71755523128169	0.422688332412924	-0.575304004609851	-0.845778730325401	-0.441018454836948	-1.71754840654986	-0.510396076472742	-0.560867732397414	-1.13485137085829	-0.183596327688013	-0.0283196315036288	0.0673900019111378
VFG044159(gb|NP_752602)	-0.794949334008353	0.582115568646363	-0.677723041496107	1.20124462397237	0.422094246532236	-0.21265275308064	-0.30696583081569	-0.258919811674527	-0.458076764430319	-1.02705294532435	0.165869739864554	-0.178656968534259	0.774335149116814	-0.456843111770494	-1.02704612059253	0.55226309773113	-0.164220696321822	0.552063877774136	-0.279168471481119	-0.00311132826443229	0.00394645293376275
VFG044165(gb|NP_752609)	-0.920264463765281	0.676535882481507	-0.860685541055032	0.865987570597125	-0.208463126633848	-0.207542608465467	-0.221384259951966	-0.170044413634709	-0.407981191362653	-1.21837956351893	-0.170019435669695	-0.343634533942012	-0.455073532275856	-0.406747538702829	-1.21837273878711	0.389818506208914	-0.329198261729575	-0.269278650092227	-0.225373074199472	-0.00349521663572107	0.0538076717140419
VFG043087(gi:15802292)	2.68768431629453	0.33960638237851	0.723072127678565	1.40638235361714	-1.19626686892339	1.52046798637935	-1.62957935322608	-0.222331217357091	-0.929272976304804	0.410345130733081	-0.510477396632944	-0.518583080977468	0.785955313034356	-0.928039323644979	0.410047107509204	-1.18728957894657	-0.50414680876503	1.42714505930032	-0.0495644954698427	0.0657692991330155	-0.253171861570861
