Sample ID	Current_Natural_Log_Ratio	time_point
CD1_T1_B1	0.05940782792287	1
CD1_T2_B1	-0.460509048171311	2
CD16_T1_B3	-0.329100665727529	1
CD16_T2_B3	-2.95803353033761	2
CD16_T3_B3	-3.79180424808605	3
CD17_T1_B7	2.77316718293646	1
CD17_T3_B7	3.89664595894029	3
CD17_T4_B7	-3.70126405552446	4
CD27_T1_B7	2.63552509987608	1
CD27_T2_B7	2.23258831843575	2
CD27_T3_B7	-1.65969487111681	3
CD28_T1_B7	0.607173565293728	1
CD28_T2_B7	-1.74495746612582	2
CD28_T4_B7	-3.33763032140811	4
CD35_T1_B7	-0.74371626476839	1
CD35_T2_B7	-0.71587361623388	2
CD35_T4_B7	-4.32323566434446	4
CD38_T1_B7	7.44872205966012	1
CD38_T2_B7	-2.50383770389093	2
CD38_T4_B7	0.103844300280166	4
CD38_T5_B7	0.839348452935974	5
CD5_T1_B2	2.92714995698901	1
CD5_T2_B6	-0.353471376679693	2
CD5_T3_B6	-0.594391277318209	3
IBS2_T1_B1	2.61825641297027	1
IBS2_T2_B1	0.384083001216794	2
IBS2_T3_B1	-3.39163263420005	3
IBS2_T5_B2	-1.5430218540815	5
IBS6_T1_B2	1.38289132851337	1
IBS6_T2_B2	-0.18451499053854	2
IBS6_T3_B2	-1.22062113068908	3
IBS6_T4_B2	-1.91744286642132	4
IBS9_T1_B2	3.44133021638732	1
IBS9_T2_B2	-0.203764536710762	2
IBS9_T3_B2	-1.48316076963974	3
UC15_T1_B3	0.632292264656915	1
UC15_T2_B3	-1.50665391681665	2
UC15_T3_B3	-0.433397175840888	3
UC15_T4_B3	-1.07521523467476	4
UC15_T5_B5	-1.32583750505361	5
UC22_T1_B6	4.55209683304345	1
UC22_T2_B6	-1.09678153900519	2
UC22_T3_B6	-0.005887393510862	3
UC22_T4_B6	-0.949574106542463	4
UC22_T5_B6	-0.535642661008575	5
UC3_T1_B1	3.96399084403673	1
UC3_T3_B4	-2.75133222153816	3
UC3_T5_B5	-1.40530809436237	5
UC33_T1_B7	0.878350036779948	1
UC33_T2_B7	-3.38911275575731	2
UC33_T3_B7	-1.36107352283794	3
UC33_T4_B7	-3.07901488579579	4
UC36_T1_B7	0.299848417912002	1
UC36_T2_B7	-0.074073954849507	2
UC36_T3_B7	-0.586280263892194	3
UC36_T4_B7	-1.68652114794512	4
UC7_T2_B2	2.0480580859593	2
UC8_T1_B2	4.20839654138063	1
UC8_T2_B2	2.75931144791343	2
UC8_T3_B4	-0.829333001007949	3
