gene_name	width	sample
VFG020172(gi:187732369)	0.989795918367347	CD1_T1_B1
VFG020161(gi:187734092)	0.998137802607076	CD1_T1_B1
VFG020158(gi:187731137)	0.98	CD1_T1_B1
VFG013036(gi:110804580)	0.997985901309164	CD1_T1_B1
VFG013033(gi:82775869)	0.933534743202417	CD1_T1_B1
VFG013021(gi:82775868)	1	CD1_T1_B1
VFG013020(gi:74311127)	0.960662525879917	CD1_T1_B1
VFG013008(gi:74311117)	0.938095238095238	CD1_T1_B1
VFG012990(gi:74311129)	0.978274363749224	CD1_T1_B1
VFG012989(gi:82543040)	0.932340161390441	CD1_T1_B1
VFG012980(gi:24111940)	1	CD1_T1_B1
VFG012973(gi:82775876)	0.946452476572959	CD1_T1_B1
VFG012906(gi:82545406)	0.997311827956989	CD1_T1_B1
VFG012894(gi:3781994)	0.921686746987952	CD1_T1_B1
VFG012874(gi:30064027)	1	CD1_T1_B1
VFG000477(gi:16766230)	0.997985901309164	CD1_T1_B1
VFG049100	0.945340501792115	CD1_T1_B1
VFG049097	1	CD1_T1_B1
VFG049090	0.99912739965096	CD1_T1_B1
VFG049079	1	CD1_T1_B1
VFG049068	0.955336154207804	CD1_T1_B1
VFG049048	0.93765903307888	CD1_T1_B1
VFG048977	0.903248587570621	CD1_T1_B1
VFG048810	0.982539682539682	CD1_T1_B1
VFG048792	0.91304347826087	CD1_T1_B1
VFG046083	0.963347763347763	CD1_T1_B1
VFG046074	0.981981981981982	CD1_T1_B1
VFG046073	0.997792494481236	CD1_T1_B1
VFG046071	1	CD1_T1_B1
VFG046070	1	CD1_T1_B1
VFG046069	0.954436450839328	CD1_T1_B1
VFG046068	1	CD1_T1_B1
VFG046065	0.953681710213777	CD1_T1_B1
VFG045962	0.931972789115646	CD1_T1_B1
VFG045936	1	CD1_T1_B1
VFG045916	0.971988795518207	CD1_T1_B1
VFG045897	0.965925925925926	CD1_T1_B1
VFG045856	0.97962962962963	CD1_T1_B1
VFG045794	0.96996996996997	CD1_T1_B1
VFG045793	0.982570806100218	CD1_T1_B1
VFG045792	0.997929606625259	CD1_T1_B1
VFG043985(gi:9081977)	1	CD1_T1_B1
VFG043980(gi:73476856)	0.985645933014354	CD1_T1_B1
VFG043729(gi:50983077)	0.99859943977591	CD1_T1_B1
VFG043645(gi:145551)	0.997967479674797	CD1_T1_B1
VFG043643(gi:145586)	0.98989898989899	CD1_T1_B1
VFG043545(gi:218560235)	1	CD1_T1_B1
VFG043544(gi:15800816)	1	CD1_T1_B1
VFG043120(gi:15802868)	1	CD1_T1_B1
VFG043119(gi:15802385)	0.936386768447837	CD1_T1_B1
VFG043118(gi:15802384)	0.992592592592593	CD1_T1_B1
VFG043117(gi:15802383)	0.982384823848238	CD1_T1_B1
VFG043115(gi:15802381)	0.949275362318841	CD1_T1_B1
VFG043114(gi:15802380)	0.998009950248756	CD1_T1_B1
VFG043111(gi:15802377)	0.981981981981982	CD1_T1_B1
VFG043110(gi:161367587)	0.992721979621543	CD1_T1_B1
VFG043108(gi:15802374)	0.990963855421687	CD1_T1_B1
VFG043106(gi:15802372)	0.984126984126984	CD1_T1_B1
VFG043105(gi:15802361)	0.997267759562842	CD1_T1_B1
VFG043104(gi:15802360)	0.970802919708029	CD1_T1_B1
VFG043103(gi:15802359)	0.945636623748212	CD1_T1_B1
VFG043101(gi:15802357)	0.998611111111111	CD1_T1_B1
VFG043100(gi:15802356)	0.994897959183674	CD1_T1_B1
VFG043099(gi:15802355)	1	CD1_T1_B1
VFG043098(gi:15802304)	0.994444444444444	CD1_T1_B1
VFG043097(gi:15802303)	0.994818652849741	CD1_T1_B1
VFG043096(gi:15802302)	1	CD1_T1_B1
VFG043095(gi:15802301)	1	CD1_T1_B1
VFG043094(gi:15802300)	1	CD1_T1_B1
VFG043093(gi:15802299)	1	CD1_T1_B1
VFG043092(gi:15802298)	0.999398315282792	CD1_T1_B1
VFG043091(gi:15802296)	0.99883855981417	CD1_T1_B1
VFG043090(gi:15802295)	0.991428571428571	CD1_T1_B1
VFG043089(gi:15802294)	1	CD1_T1_B1
VFG043088(gi:15802293)	1	CD1_T1_B1
VFG043087(gi:15802292)	1	CD1_T1_B1
VFG043086(gi:15802291)	0.997113997113997	CD1_T1_B1
VFG043085(gi:15802290)	0.997455470737914	CD1_T1_B1
