gene_name	width	sample
VFG049916(gb|YP_309275.1)	1	CD1_T1_B1
VFG049915(gb|YP_309274.1)	1	CD1_T1_B1
VFG049914(gb|YP_309273.1)	1	CD1_T1_B1
VFG049913(gb|YP_309271.1)	0.995510662177329	CD1_T1_B1
VFG049912(gb|YP_309270.1)	0.97632058287796	CD1_T1_B1
VFG049911(gb|YP_309269.1)	1	CD1_T1_B1
VFG049910(gb|YP_309268.1)	1	CD1_T1_B1
VFG049909(gb|YP_309267.1)	1	CD1_T1_B1
VFG049908(gb|YP_309266.1)	1	CD1_T1_B1
VFG049905(gb|YP_309263.1)	1	CD1_T1_B1
VFG049903(gb|YP_309259.1)	0.99929228591649	CD1_T1_B1
VFG049900(gb|YP_309254.1)	1	CD1_T1_B1
VFG049899(gb|YP_309253.1)	1	CD1_T1_B1
VFG049898(gb|YP_309252.1)	1	CD1_T1_B1
VFG013064(gb|YP_405019)	0.995965708522441	CD1_T1_B1
VFG002056(gb|YP_404609)	1	CD1_T1_B1
VFG002055(gb|YP_404608)	1	CD1_T1_B1
VFG002054(gb|YP_404607)	1	CD1_T1_B1
VFG002053(gb|YP_404606)	0.998245614035088	CD1_T1_B1
VFG002052(gb|YP_404605)	0.994623655913978	CD1_T1_B1
VFG002051(gb|YP_404604)	1	CD1_T1_B1
VFG002050(gb|YP_404603)	1	CD1_T1_B1
VFG002049(gb|YP_404602)	1	CD1_T1_B1
VFG002048(gb|YP_404601)	1	CD1_T1_B1
VFG002047(gb|YP_404600)	1	CD1_T1_B1
VFG002046(gb|YP_404599)	1	CD1_T1_B1
VFG048990(gb|YP_002920369.1)	0.996655518394649	CD1_T1_B1
VFG048830(gb|YP_002920353.1)	0.98862828713575	CD1_T1_B1
VFG048819(gb|YP_002920352.1)	0.999293785310734	CD1_T1_B1
VFG048808(gb|YP_002920351.1)	0.973741794310722	CD1_T1_B1
VFG048797(gb|YP_002920350.1)	0.999143101970865	CD1_T1_B1
VFG045349(gb|YP_002390132)	0.993178075746883	CD1_T1_B1
VFG044165(gb|NP_752609)	1	CD1_T1_B1
VFG044159(gb|NP_752602)	0.999168744804655	CD1_T1_B1
VFG042558(gb|YP_002295991)	1	CD1_T1_B1
VFG042554(gb|YP_002295987)	1	CD1_T1_B1
VFG042553(gb|YP_002295986)	0.942084942084942	CD1_T1_B1
VFG034873(gb|NP_290699)	1	CD1_T1_B1
VFG034866(gb|NP_290672)	0.98798228969007	CD1_T1_B1
VFG034849(gb|NP_285716)	1	CD1_T1_B1
VFG034754(gb|NP_288154)	1	CD1_T1_B1
VFG002417(gb|NP_286006)	1	CD1_T1_B1
VFG002416(gb|NP_286007)	1	CD1_T1_B1
VFG002415(gb|NP_286008)	1	CD1_T1_B1
VFG002414(gb|NP_286010)	1	CD1_T1_B1
VFG002413(gb|NP_286011)	1	CD1_T1_B1
VFG002412(gb|NP_286009)	1	CD1_T1_B1
VFG001448(gb|AAA21682)	0.991055456171735	CD1_T1_B1
VFG001443(gb|AAF37887)	1	CD1_T1_B1
VFG000933(gb|NP_752613)	1	CD1_T1_B1
VFG000932(gb|NP_752612)	1	CD1_T1_B1
VFG000931(gb|NP_752611)	1	CD1_T1_B1
VFG000930(gb|NP_752604)	0.984544049459042	CD1_T1_B1
VFG000929(gb|NP_752599)	0.998702983138781	CD1_T1_B1
VFG000928(gb|NP_752607)	0.997985901309164	CD1_T1_B1
VFG000926(gb|NP_752608)	1	CD1_T1_B1
VFG000925(gb|NP_752606)	1	CD1_T1_B1
VFG000924(gb|NP_752610)	1	CD1_T1_B1
VFG000923(gb|NP_752600)	0.999107541276216	CD1_T1_B1
VFG000922(gb|NP_756179)	0.998992950654582	CD1_T1_B1
VFG000920(gb|NP_756177)	0.97979797979798	CD1_T1_B1
VFG000919(gb|NP_756176)	0.985052316890882	CD1_T1_B1
VFG000879(gb|NP_757248)	1	CD1_T1_B1
VFG000878(gb|NP_757247)	0.998015873015873	CD1_T1_B1
VFG000877(gb|NP_757245)	1	CD1_T1_B1
VFG000876(gb|NP_757244)	1	CD1_T1_B1
VFG000875(gb|NP_757243)	1	CD1_T1_B1
VFG000874(gb|NP_757242)	1	CD1_T1_B1
VFG000872(gb|NP_757240)	0.998324958123953	CD1_T1_B1
VFG000871(gb|NP_757239)	1	CD1_T1_B1
VFG000839(gb|NP_287515)	0.985507246376812	CD1_T1_B1
VFG049916(gb|YP_309275.1)	0.96265172735761	CD1_T2_B1
VFG049915(gb|YP_309274.1)	0.97495183044316	CD1_T2_B1
VFG049914(gb|YP_309273.1)	0.918163672654691	CD1_T2_B1
VFG049913(gb|YP_309271.1)	0.906846240179573	CD1_T2_B1
VFG049910(gb|YP_309268.1)	0.979686057248384	CD1_T2_B1
VFG049908(gb|YP_309266.1)	0.96952380952381	CD1_T2_B1
VFG049905(gb|YP_309263.1)	0.904199475065617	CD1_T2_B1
VFG049903(gb|YP_309259.1)	0.992922859164897	CD1_T2_B1
VFG049900(gb|YP_309254.1)	0.983988355167394	CD1_T2_B1
VFG049899(gb|YP_309253.1)	0.999260901699926	CD1_T2_B1
VFG002056(gb|YP_404609)	0.933806146572104	CD1_T2_B1
VFG002055(gb|YP_404608)	0.926829268292683	CD1_T2_B1
VFG002053(gb|YP_404606)	0.933333333333333	CD1_T2_B1
VFG002047(gb|YP_404600)	0.967320261437909	CD1_T2_B1
VFG048830(gb|YP_002920353.1)	0.914712153518124	CD1_T2_B1
VFG048819(gb|YP_002920352.1)	0.936440677966102	CD1_T2_B1
VFG048808(gb|YP_002920351.1)	0.953318745441284	CD1_T2_B1
VFG044159(gb|NP_752602)	0.950124688279302	CD1_T2_B1
VFG034873(gb|NP_290699)	0.932714617169374	CD1_T2_B1
VFG034866(gb|NP_290672)	0.959519291587603	CD1_T2_B1
VFG034849(gb|NP_285716)	0.976090014064698	CD1_T2_B1
VFG002416(gb|NP_286007)	0.96654501216545	CD1_T2_B1
VFG002415(gb|NP_286008)	0.92874109263658	CD1_T2_B1
VFG000930(gb|NP_752604)	0.934312210200927	CD1_T2_B1
VFG000876(gb|NP_757244)	0.960182025028441	CD1_T2_B1
VFG000875(gb|NP_757243)	0.93801652892562	CD1_T2_B1
VFG000872(gb|NP_757240)	0.959798994974874	CD1_T2_B1
VFG000368(gb|NP_405477)	1	CD17_T3_B7
VFG000367(gb|NP_405476)	0.998438719750195	CD17_T3_B7
VFG000366(gb|NP_405475)	1	CD17_T3_B7
VFG000365(gb|NP_405474)	0.986688851913478	CD17_T3_B7
VFG000364(gb|NP_405473)	0.991666666666667	CD17_T3_B7
VFG000363(gb|NP_405472)	1	CD17_T3_B7
VFG000362(gb|NP_405471)	0.989780868099452	CD17_T3_B7
VFG000361(gb|NP_405470)	0.990917347865577	CD17_T3_B7
VFG000360(gb|NP_405469)	1	CD17_T3_B7
VFG000359(gb|NP_405468)	0.993662864385298	CD17_T3_B7
VFG000358(gb|NP_405467)	1	CD17_T3_B7
VFG002056(gb|YP_404609)	1	CD17_T3_B7
VFG002055(gb|YP_404608)	1	CD17_T3_B7
VFG002054(gb|YP_404607)	1	CD17_T3_B7
VFG002053(gb|YP_404606)	0.998245614035088	CD17_T3_B7
VFG002052(gb|YP_404605)	0.981182795698925	CD17_T3_B7
VFG002051(gb|YP_404604)	0.986817325800377	CD17_T3_B7
VFG002050(gb|YP_404603)	0.993421052631579	CD17_T3_B7
VFG002049(gb|YP_404602)	1	CD17_T3_B7
VFG002048(gb|YP_404601)	1	CD17_T3_B7
VFG002047(gb|YP_404600)	0.998910675381264	CD17_T3_B7
VFG002046(gb|YP_404599)	1	CD17_T3_B7
VFG001827(gb|YP_406304)	1	CD17_T3_B7
VFG000619(gb|NP_709458)	0.996357012750455	CD17_T3_B7
VFG000618(gb|NP_709457)	1	CD17_T3_B7
VFG000617(gb|NP_709456)	1	CD17_T3_B7
VFG000616(gb|NP_709455)	1	CD17_T3_B7
VFG000615(gb|NP_709454)	0.995510662177329	CD17_T3_B7
VFG044333(gb|YP_002920253)	0.985657764589515	CD17_T3_B7
VFG044332(gb|YP_002920252)	0.986058301647655	CD17_T3_B7
VFG044330(gb|YP_002920250)	0.99052540913006	CD17_T3_B7
VFG044329(gb|YP_002920249)	0.907184997892962	CD17_T3_B7
VFG044328(gb|YP_002920248)	0.915029469548134	CD17_T3_B7
VFG044326(gb|YP_002920246)	0.978369384359401	CD17_T3_B7
VFG044325(gb|YP_002920245)	0.987978142076503	CD17_T3_B7
VFG044324(gb|YP_002920244)	0.952279202279202	CD17_T3_B7
VFG044172(gb|NP_756180)	1	CD17_T3_B7
VFG044165(gb|NP_752609)	1	CD17_T3_B7
VFG044159(gb|NP_752602)	1	CD17_T3_B7
VFG034901(gb|NP_285765)	0.998245614035088	CD17_T3_B7
VFG034866(gb|NP_290672)	0.998734977862113	CD17_T3_B7
VFG034849(gb|NP_285716)	0.991561181434599	CD17_T3_B7
VFG034815(gb|NP_287686)	0.998412698412698	CD17_T3_B7
VFG034754(gb|NP_288154)	0.999473407056345	CD17_T3_B7
VFG001713(gb|NP_755457)	0.992753623188406	CD17_T3_B7
VFG001450(gb|AAA24046)	0.998712998712999	CD17_T3_B7
VFG001449(gb|AAA24047)	0.996969696969697	CD17_T3_B7
VFG001448(gb|AAA21682)	1	CD17_T3_B7
VFG001444(gb|AAG10151)	1	CD17_T3_B7
VFG001443(gb|AAF37887)	1	CD17_T3_B7
VFG000940(gb|NP_755502)	0.916666666666667	CD17_T3_B7
VFG000933(gb|NP_752613)	1	CD17_T3_B7
VFG000932(gb|NP_752612)	1	CD17_T3_B7
VFG000931(gb|NP_752611)	1	CD17_T3_B7
VFG000930(gb|NP_752604)	0.987120041215868	CD17_T3_B7
VFG000929(gb|NP_752599)	0.996108949416342	CD17_T3_B7
VFG000928(gb|NP_752607)	0.94662638469285	CD17_T3_B7
VFG000926(gb|NP_752608)	1	CD17_T3_B7
VFG000925(gb|NP_752606)	0.998774509803922	CD17_T3_B7
VFG000924(gb|NP_752610)	1	CD17_T3_B7
VFG000923(gb|NP_752600)	1	CD17_T3_B7
VFG000922(gb|NP_756179)	1	CD17_T3_B7
VFG000921(gb|NP_756178)	1	CD17_T3_B7
VFG000919(gb|NP_756176)	1	CD17_T3_B7
VFG000918(gb|NP_756175)	1	CD17_T3_B7
VFG000917(gb|NP_756170)	0.998459167950693	CD17_T3_B7
VFG000916(gb|NP_756169)	0.977648202137998	CD17_T3_B7
VFG000902(gb|NP_755494)	0.99974358974359	CD17_T3_B7
VFG000890(gb|NP_755458)	1	CD17_T3_B7
VFG000889(gb|NP_755459)	1	CD17_T3_B7
VFG000887(gb|NP_755461)	1	CD17_T3_B7
VFG000886(gb|NP_755463)	1	CD17_T3_B7
VFG000885(gb|NP_755464)	1	CD17_T3_B7
VFG000884(gb|NP_755465)	1	CD17_T3_B7
VFG000883(gb|NP_755466)	1	CD17_T3_B7
VFG000881	1	CD17_T3_B7
VFG000880(gb|NP_755468)	1	CD17_T3_B7
VFG000879(gb|NP_757248)	1	CD17_T3_B7
VFG000878(gb|NP_757247)	1	CD17_T3_B7
VFG000877(gb|NP_757245)	1	CD17_T3_B7
VFG000876(gb|NP_757244)	1	CD17_T3_B7
VFG000875(gb|NP_757243)	1	CD17_T3_B7
VFG000874(gb|NP_757242)	1	CD17_T3_B7
VFG000872(gb|NP_757240)	1	CD17_T3_B7
VFG000871(gb|NP_757239)	0.998341625207297	CD17_T3_B7
VFG001444(gb|AAG10151)	0.964285714285714	CD35_T2_B7
VFG000931(gb|NP_752611)	0.984848484848485	CD35_T2_B7
VFG000923(gb|NP_752600)	0.909415439535921	CD35_T2_B7
VFG002056(gb|YP_404609)	0.955082742316785	CD38_T4_B7
VFG002055(gb|YP_404608)	0.979094076655052	CD38_T4_B7
VFG002052(gb|YP_404605)	0.959677419354839	CD38_T4_B7
VFG002047(gb|YP_404600)	0.975490196078431	CD38_T4_B7
VFG049161(gb|YP_006635487.1)	0.901626016260163	CD38_T4_B7
VFG049155(gb|YP_006635481.1)	0.922518958127267	CD38_T4_B7
VFG049154(gb|YP_006635480.1)	0.908276005836981	CD38_T4_B7
VFG042389(gb|YP_540131)	0.901484480431849	CD38_T4_B7
VFG012509(gb|NP_753167)	0.914927768860353	CD38_T4_B7
VFG012505(gb|NP_753166)	0.951219512195122	CD38_T4_B7
VFG002416(gb|NP_286007)	0.912408759124088	CD38_T4_B7
VFG002415(gb|NP_286008)	0.978622327790974	CD38_T4_B7
VFG002414(gb|NP_286010)	0.982993197278912	CD38_T4_B7
VFG002412(gb|NP_286009)	0.96711509715994	CD38_T4_B7
VFG001444(gb|AAG10151)	0.922268907563025	CD38_T4_B7
VFG001443(gb|AAF37887)	0.907780979827089	CD38_T4_B7
VFG000932(gb|NP_752612)	0.96772191185599	CD38_T4_B7
VFG000930(gb|NP_752604)	0.928902627511592	CD38_T4_B7
VFG000928(gb|NP_752607)	0.948640483383686	CD38_T4_B7
VFG000926(gb|NP_752608)	0.972468043264503	CD38_T4_B7
VFG000925(gb|NP_752606)	0.944852941176471	CD38_T4_B7
VFG000924(gb|NP_752610)	0.977011494252874	CD38_T4_B7
VFG000923(gb|NP_752600)	0.938420348058902	CD38_T4_B7
VFG000919(gb|NP_756176)	0.934977578475336	CD38_T4_B7
VFG000877(gb|NP_757245)	0.97940074906367	CD38_T4_B7
VFG000875(gb|NP_757243)	0.929752066115702	CD38_T4_B7
VFG000871(gb|NP_757239)	0.950248756218905	CD38_T4_B7
VFG001359(gb|NP_346089)	0.968817204301075	CD5_T1_B2
VFG049916(gb|YP_309275.1)	0.992997198879552	CD5_T1_B2
VFG049915(gb|YP_309274.1)	1	CD5_T1_B2
VFG049914(gb|YP_309273.1)	1	CD5_T1_B2
VFG049913(gb|YP_309271.1)	1	CD5_T1_B2
VFG049912(gb|YP_309270.1)	0.965391621129326	CD5_T1_B2
VFG049911(gb|YP_309269.1)	0.978390059427337	CD5_T1_B2
VFG049910(gb|YP_309268.1)	0.983379501385042	CD5_T1_B2
VFG049909(gb|YP_309267.1)	0.982825917252147	CD5_T1_B2
VFG049908(gb|YP_309266.1)	0.937142857142857	CD5_T1_B2
VFG049905(gb|YP_309263.1)	0.996062992125984	CD5_T1_B2
VFG049900(gb|YP_309254.1)	0.997088791848617	CD5_T1_B2
VFG049899(gb|YP_309253.1)	0.984478935698448	CD5_T1_B2
VFG049898(gb|YP_309252.1)	0.94824016563147	CD5_T1_B2
VFG002056(gb|YP_404609)	0.966903073286052	CD5_T1_B2
VFG002055(gb|YP_404608)	0.997677119628339	CD5_T1_B2
VFG002046(gb|YP_404599)	0.989169675090253	CD5_T1_B2
VFG048990(gb|YP_002920369.1)	1	CD5_T1_B2
VFG048985(gb|YP_002920368.1)	0.946031746031746	CD5_T1_B2
VFG048830(gb|YP_002920353.1)	0.995024875621891	CD5_T1_B2
VFG048819(gb|YP_002920352.1)	1	CD5_T1_B2
VFG048808(gb|YP_002920351.1)	1	CD5_T1_B2
VFG048797(gb|YP_002920350.1)	0.999143101970865	CD5_T1_B2
VFG045349(gb|YP_002390132)	0.974123735591625	CD5_T1_B2
VFG044165(gb|NP_752609)	1	CD5_T1_B2
VFG044159(gb|NP_752602)	1	CD5_T1_B2
VFG034895(gb|NP_285753)	0.99601593625498	CD5_T1_B2
VFG034873(gb|NP_290699)	1	CD5_T1_B2
VFG034866(gb|NP_290672)	0.999367488931056	CD5_T1_B2
VFG034849(gb|NP_285716)	1	CD5_T1_B2
VFG034772(gb|NP_290644)	1	CD5_T1_B2
VFG034754(gb|NP_288154)	1	CD5_T1_B2
VFG002417(gb|NP_286006)	1	CD5_T1_B2
VFG002416(gb|NP_286007)	1	CD5_T1_B2
VFG002415(gb|NP_286008)	1	CD5_T1_B2
VFG002414(gb|NP_286010)	1	CD5_T1_B2
VFG002413(gb|NP_286011)	1	CD5_T1_B2
VFG002412(gb|NP_286009)	1	CD5_T1_B2
VFG001444(gb|AAG10151)	1	CD5_T1_B2
VFG001443(gb|AAF37887)	1	CD5_T1_B2
VFG000933(gb|NP_752613)	1	CD5_T1_B2
VFG000932(gb|NP_752612)	1	CD5_T1_B2
VFG000931(gb|NP_752611)	1	CD5_T1_B2
VFG000930(gb|NP_752604)	0.987120041215868	CD5_T1_B2
VFG000929(gb|NP_752599)	1	CD5_T1_B2
VFG000928(gb|NP_752607)	0.949647532729104	CD5_T1_B2
VFG000926(gb|NP_752608)	1	CD5_T1_B2
VFG000925(gb|NP_752606)	1	CD5_T1_B2
VFG000924(gb|NP_752610)	1	CD5_T1_B2
VFG000923(gb|NP_752600)	1	CD5_T1_B2
VFG000879(gb|NP_757248)	1	CD5_T1_B2
VFG000878(gb|NP_757247)	0.998015873015873	CD5_T1_B2
VFG000877(gb|NP_757245)	1	CD5_T1_B2
VFG000876(gb|NP_757244)	1	CD5_T1_B2
VFG000875(gb|NP_757243)	1	CD5_T1_B2
VFG000874(gb|NP_757242)	1	CD5_T1_B2
VFG000872(gb|NP_757240)	1	CD5_T1_B2
VFG000871(gb|NP_757239)	1	CD5_T1_B2
VFG000863(gb|BAA94855)	0.957264957264957	CD5_T1_B2
VFG043519(gb|ZP_00604835)	1	CD5_T1_B2
VFG043518(gb|AAN12397)	0.999538319482918	CD5_T1_B2
VFG043511(gb|ZP_00602747)	1	CD5_T1_B2
VFG043508(gb|NP_813892)	0.993460764587525	CD5_T1_B2
VFG042979(gb|NP_814824)	0.950877192982456	CD5_T1_B2
VFG042978(gb|NP_814823)	0.981895633652822	CD5_T1_B2
VFG042977(gb|NP_814822)	0.955974842767296	CD5_T1_B2
VFG042976(gb|NP_814821)	0.993055555555556	CD5_T1_B2
VFG002197(gb|NP_814691)	0.95351137487636	CD5_T1_B2
VFG002196(gb|NP_816637)	0.985190580237922	CD5_T1_B2
VFG002191(gb|NP_815515)	0.960233918128655	CD5_T1_B2
VFG002189(gb|NP_816140)	0.956304619225968	CD5_T1_B2
VFG002179(gb|AAD09858)	0.930985414443259	CD5_T1_B2
VFG002174(gb|NP_815516)	0.998695368558382	CD5_T1_B2
VFG002165(gb|NP_815739)	0.977346278317152	CD5_T1_B2
VFG049916(gb|YP_309275.1)	0.951447245564893	CD5_T1_B6
VFG049915(gb|YP_309274.1)	0.986512524084778	CD5_T1_B6
VFG049914(gb|YP_309273.1)	1	CD5_T1_B6
VFG049913(gb|YP_309271.1)	0.98989898989899	CD5_T1_B6
VFG049911(gb|YP_309269.1)	0.947595894111291	CD5_T1_B6
VFG049909(gb|YP_309267.1)	0.946916471506635	CD5_T1_B6
VFG049900(gb|YP_309254.1)	0.918486171761281	CD5_T1_B6
VFG002046(gb|YP_404599)	0.910950661853189	CD5_T1_B6
VFG048990(gb|YP_002920369.1)	0.994425863991081	CD5_T1_B6
VFG048830(gb|YP_002920353.1)	0.999289267945984	CD5_T1_B6
VFG048819(gb|YP_002920352.1)	0.998587570621469	CD5_T1_B6
VFG048808(gb|YP_002920351.1)	0.99927060539752	CD5_T1_B6
VFG048797(gb|YP_002920350.1)	0.998286203941731	CD5_T1_B6
VFG045349(gb|YP_002390132)	0.972006586685486	CD5_T1_B6
VFG044165(gb|NP_752609)	0.998401278976819	CD5_T1_B6
VFG044159(gb|NP_752602)	1	CD5_T1_B6
VFG034895(gb|NP_285753)	0.98273572377158	CD5_T1_B6
VFG034873(gb|NP_290699)	0.988399071925754	CD5_T1_B6
VFG034866(gb|NP_290672)	0.992409867172676	CD5_T1_B6
VFG034849(gb|NP_285716)	0.985232067510548	CD5_T1_B6
VFG034772(gb|NP_290644)	1	CD5_T1_B6
VFG034754(gb|NP_288154)	1	CD5_T1_B6
VFG002417(gb|NP_286006)	0.997354497354497	CD5_T1_B6
VFG002416(gb|NP_286007)	0.998783454987834	CD5_T1_B6
VFG002415(gb|NP_286008)	0.999208234362629	CD5_T1_B6
VFG002414(gb|NP_286010)	0.996598639455782	CD5_T1_B6
VFG002413(gb|NP_286011)	0.989847715736041	CD5_T1_B6
VFG002412(gb|NP_286009)	0.998505231689088	CD5_T1_B6
VFG001444(gb|AAG10151)	1	CD5_T1_B6
VFG001443(gb|AAF37887)	0.998078770413064	CD5_T1_B6
VFG000933(gb|NP_752613)	1	CD5_T1_B6
VFG000932(gb|NP_752612)	0.999379267535692	CD5_T1_B6
VFG000931(gb|NP_752611)	1	CD5_T1_B6
VFG000930(gb|NP_752604)	0.987120041215868	CD5_T1_B6
VFG000929(gb|NP_752599)	0.998702983138781	CD5_T1_B6
VFG000928(gb|NP_752607)	0.948640483383686	CD5_T1_B6
VFG000926(gb|NP_752608)	0.999016715830875	CD5_T1_B6
VFG000925(gb|NP_752606)	0.998774509803922	CD5_T1_B6
VFG000924(gb|NP_752610)	1	CD5_T1_B6
VFG000923(gb|NP_752600)	0.999107541276216	CD5_T1_B6
VFG000879(gb|NP_757248)	1	CD5_T1_B6
VFG000878(gb|NP_757247)	0.996031746031746	CD5_T1_B6
VFG000877(gb|NP_757245)	1	CD5_T1_B6
VFG000876(gb|NP_757244)	0.999620781190747	CD5_T1_B6
VFG000875(gb|NP_757243)	0.988980716253444	CD5_T1_B6
VFG000874(gb|NP_757242)	1	CD5_T1_B6
VFG000872(gb|NP_757240)	0.998324958123953	CD5_T1_B6
VFG000871(gb|NP_757239)	1	CD5_T1_B6
VFG000863(gb|BAA94855)	0.948717948717949	CD5_T1_B6
VFG043519(gb|ZP_00604835)	0.984871406959153	CD5_T1_B6
VFG043518(gb|AAN12397)	0.976454293628809	CD5_T1_B6
VFG043511(gb|ZP_00602747)	0.974358974358974	CD5_T1_B6
VFG049914(gb|YP_309273.1)	0.902195608782435	CD5_T2_B2
VFG034873(gb|NP_290699)	0.948955916473318	CD5_T2_B2
VFG034772(gb|NP_290644)	0.922725194330133	CD5_T2_B2
VFG002415(gb|NP_286008)	0.900633412509897	CD5_T2_B2
VFG000933(gb|NP_752613)	0.974358974358974	CD5_T2_B2
VFG000931(gb|NP_752611)	0.912457912457912	CD5_T2_B2
VFG000929(gb|NP_752599)	0.96757457846952	CD5_T2_B2
VFG000925(gb|NP_752606)	0.922794117647059	CD5_T2_B2
VFG000924(gb|NP_752610)	0.946708463949843	CD5_T2_B2
VFG000879(gb|NP_757248)	0.951754385964912	CD5_T2_B2
VFG000876(gb|NP_757244)	0.904816078877512	CD5_T2_B2
VFG049913(gb|YP_309271.1)	0.973063973063973	CD5_T2_B6
VFG048830(gb|YP_002920353.1)	0.945984363894812	CD5_T2_B6
VFG045349(gb|YP_002390132)	0.920724535403434	CD5_T2_B6
VFG044165(gb|NP_752609)	0.907274180655476	CD5_T2_B6
VFG044159(gb|NP_752602)	0.99002493765586	CD5_T2_B6
VFG034772(gb|NP_290644)	0.912208504801097	CD5_T2_B6
VFG034754(gb|NP_288154)	0.926276987888362	CD5_T2_B6
VFG002417(gb|NP_286006)	0.937830687830688	CD5_T2_B6
VFG002415(gb|NP_286008)	0.980205859065717	CD5_T2_B6
VFG002414(gb|NP_286010)	0.996598639455782	CD5_T2_B6
VFG002412(gb|NP_286009)	0.913303437967115	CD5_T2_B6
VFG000933(gb|NP_752613)	0.953379953379953	CD5_T2_B6
VFG000932(gb|NP_752612)	0.992551210428305	CD5_T2_B6
VFG000931(gb|NP_752611)	0.94949494949495	CD5_T2_B6
VFG000929(gb|NP_752599)	0.997405966277562	CD5_T2_B6
VFG000926(gb|NP_752608)	0.941002949852507	CD5_T2_B6
VFG000925(gb|NP_752606)	0.942401960784314	CD5_T2_B6
